algorithm_name,instance_size,timeout,seed,runtime,timed_out,min_happiness,total_happiness,fairness_ratio,error
Main (α=3.0),5,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=3.0),10,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=3.0),15,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=3.0),20,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=2.0),5,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=2.0),10,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=2.0),15,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=2.0),20,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=4.0),5,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=4.0),10,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=4.0),15,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Main (α=4.0),20,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Greedy (Max Value),5,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Greedy (Max Value),10,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Greedy (Max Value),15,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Greedy (Max Value),20,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Greedy (Min Value),5,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Greedy (Min Value),10,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Greedy (Min Value),15,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Greedy (Min Value),20,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Round Robin,5,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Round Robin,10,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Round Robin,15,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Round Robin,20,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Random,5,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Random,10,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Random,15,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
Random,20,60.0,42,0.0,1,,,,generate_random_instance() got an unexpected keyword argument 'max_valuation'
