algorithm_name,instance_size,timeout,seed,runtime,timed_out,min_happiness,total_happiness,fairness_ratio
Main (α=3.0),5,60.0,42,0.9890005588531494,0,12.75923561864308,108.03245964403648,0.13392257634991264
Main (α=3.0),10,60.0,42,2.620048999786377,1,,,
Main (α=3.0),15,60.0,42,3.7049059867858887,0,46.20517117594805,778.0534275685886,0.2763224531016217
Main (α=3.0),20,60.0,42,9.703787088394165,0,70.40640103764967,1113.1591783882984,0.4541388206963963
Main (α=2.0),5,60.0,42,0.7707757949829102,0,77.60019368518041,178.0847717311951,0.7722597357143215
Main (α=2.0),10,60.0,42,2.9134957790374756,0,60.637117952545076,423.1006754640939,0.49871807079330677
Main (α=2.0),15,60.0,42,3.9307620525360107,0,46.20517117594805,778.0534275685886,0.2763224531016217
Main (α=2.0),20,60.0,42,8.857912540435791,0,95.23119817867376,1382.2260505588945,0.5558464164985742
Main (α=4.0),5,60.0,42,0.8388428688049316,1,,,
Main (α=4.0),10,60.0,42,2.6744275093078613,1,,,
Main (α=4.0),15,60.0,42,3.85748553276062,0,46.20517117594805,778.0534275685886,0.2763224531016217
Main (α=4.0),20,60.0,42,9.197013854980469,0,70.40640103764967,1113.1591783882984,0.4541388206963963
Greedy (Max Value),5,60.0,42,0.0010259151458740234,1,,,
Greedy (Max Value),10,60.0,42,0.0010495185852050781,1,,,
Greedy (Max Value),15,60.0,42,0.0010335445404052734,1,,,
Greedy (Max Value),20,60.0,42,0.0005085468292236328,1,,,
Greedy (Min Value),5,60.0,42,0.0010063648223876953,1,,,
Greedy (Min Value),10,60.0,42,0.0005092620849609375,1,,,
Greedy (Min Value),15,60.0,42,0.0005342960357666016,1,,,
Greedy (Min Value),20,60.0,42,0.0005080699920654297,1,,,
Round Robin,5,60.0,42,0.0,0,46.720184873210734,142.72740520612805,0.48663199196063084
Round Robin,10,60.0,42,0.0015115737915039062,0,20.75675980114758,406.39984015078323,0.14367836251771926
Round Robin,15,60.0,42,0.0010080337524414062,0,63.253405165470376,682.3973329389353,0.408039777882873
Round Robin,20,60.0,42,0.0,0,34.14806736012905,988.4584476939139,0.18288068182552555
Random,5,60.0,42,0.0010097026824951172,0,138.2139032495677,279.91688503150135,0.9753775221347472
Random,10,60.0,42,0.0011103153228759766,0,0,357.47296953648004,0.0
Random,15,60.0,42,0.001005411148071289,0,14.823401633025124,660.696997739951,0.07795328125851789
Random,20,60.0,42,0.0,0,8.463103949054647,1089.881144202197,0.03813329246622445
