algorithm_name,instance_size,timeout,seed,runtime,timed_out,min_happiness,total_happiness,fairness_ratio
Main (α=3.0),5,60.0,42,0.9890005588531494,0,12.75923561864308,108.03245964403648,0.1339225763499126
Main (α=3.0),10,60.0,42,2.620048999786377,1,,,
Main (α=3.0),15,60.0,42,3.7049059867858887,0,46.20517117594805,778.0534275685886,0.2763224531016217
Main (α=3.0),20,60.0,42,9.703787088394163,0,70.40640103764967,1113.1591783882984,0.4541388206963963
Main (α=2.0),5,60.0,42,0.7707757949829102,0,77.60019368518041,178.0847717311951,0.7722597357143215
Main (α=2.0),10,60.0,42,2.913495779037476,0,60.63711795254508,423.1006754640939,0.4987180707933067
Main (α=2.0),15,60.0,42,3.9307620525360103,0,46.20517117594805,778.0534275685886,0.2763224531016217
Main (α=2.0),20,60.0,42,8.857912540435791,0,95.23119817867376,1382.2260505588945,0.5558464164985742
Main (α=4.0),5,60.0,42,0.8388428688049316,1,,,
Main (α=4.0),10,60.0,42,2.6744275093078613,1,,,
Main (α=4.0),15,60.0,42,3.85748553276062,0,46.20517117594805,778.0534275685886,0.2763224531016217
Main (α=4.0),20,60.0,42,9.197013854980469,0,70.40640103764967,1113.1591783882984,0.4541388206963963
Greedy (Max Value),5,60.0,42,0.001025915145874,1,,,
Greedy (Max Value),10,60.0,42,0.001049518585205,1,,,
Greedy (Max Value),15,60.0,42,0.0010335445404052,1,,,
Greedy (Max Value),20,60.0,42,0.0005085468292236,1,,,
Greedy (Min Value),5,60.0,42,0.0010063648223876,1,,,
Greedy (Min Value),10,60.0,42,0.0005092620849609,1,,,
Greedy (Min Value),15,60.0,42,0.0005342960357666,1,,,
Greedy (Min Value),20,60.0,42,0.0005080699920654,1,,,
Round Robin,5,60.0,42,0.0,0,46.720184873210734,142.72740520612803,0.4866319919606308
Round Robin,10,60.0,42,0.0015115737915039,0,20.75675980114758,406.3998401507832,0.1436783625177192
Round Robin,15,60.0,42,0.0010080337524414,0,63.253405165470376,682.3973329389353,0.408039777882873
Round Robin,20,60.0,42,0.0,0,34.14806736012905,988.458447693914,0.1828806818255255
Random,5,60.0,42,0.0010097026824951,0,138.2139032495677,279.9168850315013,0.9753775221347472
Random,10,60.0,42,0.0011103153228759,0,0.0,357.47296953648004,0.0
Random,15,60.0,42,0.0010054111480712,0,14.823401633025124,660.696997739951,0.0779532812585178
Random,20,60.0,42,0.0,0,8.463103949054647,1089.881144202197,0.0381332924662244
Leximin,5,60.0,42,0.00322723388671875,1,,,
Leximin,10,60.0,42,0.002000570297241211,1,,,
Leximin,15,60.0,42,0.0005095005035400391,1,,,
Leximin,20,60.0,42,0.0030133724212646484,1,,,
EF1,5,60.0,42,0.0015170574188232422,1,,,
EF1,10,60.0,42,0.0015094280242919922,1,,,
EF1,15,60.0,42,0.0020084381103515625,1,,,
EF1,20,60.0,42,0.0015425682067871094,1,,,
