algorithm_name,instance_size,runtime,timed_out,min_happiness,total_happiness,fairness_ratio,seed
Santa Claus (Original),5,0.852471113204956,0,77.60019368518041,178.0847717311951,0.7722597357143215,42
Santa Claus (Improved),5,0.37786269187927246,0,98.93272163309189,260.24448795939304,0.6133013349625777,42
Leximin,5,0.0005083084106445312,0,138.2139032495677,279.91688503150135,0.9753775221347472,42
EF1,5,0.0,0,138.2139032495677,279.91688503150135,0.9753775221347472,42
Greedy (Max Value),5,0.0015070438385009766,0,102.13855272078003,302.2278393272697,0.5104648752216965,42
Greedy (Min Value),5,0.0034418106079101562,0,56.32712930352293,124.10644711789743,0.8310371234155027,42
Round Robin,5,0.0015096664428710938,0,46.720184873210734,142.72740520612805,0.48663199196063084,42
Random,5,0.0015201568603515625,0,125.23641579751347,282.5554422551614,0.7960665573482211,42
Santa Claus (Original),10,2.8853228092193604,0,65.8003686180757,627.0827289509951,0.42051257605175457,42
Santa Claus (Improved),10,0.6200754642486572,0,65.8003686180757,544.3946526643349,0.4300008891506123,42
Leximin,10,0.0009984970092773438,0,92.61372678250056,580.2498075433842,0.6209994964089669,42
EF1,10,0.000995635986328125,0,111.637535297064,675.6371581685797,0.6829070234030559,42
Greedy (Max Value),10,0.002292156219482422,0,0,709.0138090442267,0.0,42
Greedy (Min Value),10,0.0006072521209716797,0,63.86285053150897,464.49888103990907,0.5225169213678021,42
Round Robin,10,0.0010111331939697266,0,57.367678974069435,462.46341033843635,0.4313654971602853,42
Random,10,0.0010037422180175781,0,38.6128027630964,564.488232481938,0.2096091051072395,42
Santa Claus (Original),15,4.081620693206787,0,20.445346468401084,874.1910794485431,0.11236700803130222,42
Santa Claus (Improved),15,0.8215563297271729,0,20.445346468401084,874.1910794485431,0.11236700803130222,42
Leximin,15,0.0010175704956054688,0,99.92896437285994,896.1128069752408,0.6061527964855951,42
EF1,15,0.0006821155548095703,0,99.92896437285994,1101.2869754065944,0.5390274129851913,42
Greedy (Max Value),15,0.0,0,86.1039046251209,1360.3882614535419,0.2973509924312519,42
Greedy (Min Value),15,0.0015232563018798828,0,92.61965679385384,872.5279397538477,0.6262930214962177,42
Round Robin,15,0.0,0,79.41676670363738,818.9240907292592,0.4943956043729886,42
Random,15,0.0015232563018798828,0,0,709.1091502114411,0.0,42
Santa Claus (Original),20,60.0,1,nan,nan,nan,42
Santa Claus (Improved),20,0.4408531188964844,0,76.9905501437563,1298.2532283088854,0.43777929759324635,42
Leximin,20,0.0015108585357666016,0,98.4096662554033,1471.945117018533,0.556385731225239,42
EF1,20,0.0015215873718261719,0,102.19702316971937,1353.349426266907,0.6015710306249272,42
Greedy (Max Value),20,0.002523183822631836,0,0,1819.0901338600406,0.0,42
Greedy (Min Value),20,0.0015082359313964844,0,69.82325075620076,1065.7126005615032,0.47334709372148837,42
Round Robin,20,0.0,0,46.27756468231417,1138.3769251167967,0.2685103796994736,42
Random,20,0.0007350444793701172,0,10.245332807480704,1114.843764144216,0.041142746000584554,42
