algorithm_name,instance_size,timeout,seed,runtime,timed_out,min_happiness,total_happiness,fairness_ratio
Main (α=3.0),5,60.0,42,1.5981440544128418,0,116.66205001266134,357.620755627045,0.4841578548291196
Main (α=3.0),10,60.0,42,3.097299814224243,1,,,
Main (α=3.0),15,60.0,42,6.074013710021973,0,69.13908856272353,794.5244661625966,0.41434521850247025
Main (α=3.0),20,60.0,42,12.199864864349365,0,60.67156307385832,1117.4615732189388,0.3406322360028821
Main (α=2.0),5,60.0,42,1.5770800113677979,0,77.60019368518041,178.0847717311951,0.7722597357143215
Main (α=2.0),10,60.0,42,4.078789949417114,0,13.556869154681163,353.5407184342141,0.11705279334968377
Main (α=2.0),15,60.0,42,6.782770395278931,0,69.13908856272353,794.5244661625966,0.41434521850247025
Main (α=2.0),20,60.0,42,11.218186378479004,0,51.420985858443295,1036.6077874253785,0.31484268978914026
Main (α=4.0),5,60.0,42,0.8784003257751465,1,,,
Main (α=4.0),10,60.0,42,2.8256893157958984,1,,,
Main (α=4.0),15,60.0,42,5.109182119369507,0,69.13908856272353,794.5244661625966,0.41434521850247025
Main (α=4.0),20,60.0,42,10.486109256744385,0,60.67156307385832,1117.4615732189388,0.3406322360028821
Leximin,5,60.0,42,0.0009930133819580078,0,138.2139032495677,279.91688503150135,0.9753775221347472
Leximin,10,60.0,42,0.000990152359008789,0,95.76409414847134,555.4126006598703,0.6817360886510456
Leximin,15,60.0,42,0.0010037422180175781,0,99.75622304301592,973.8736920143078,0.5934653257147079
Leximin,20,60.0,42,0.0,0,99.92896437285994,1366.4857101414934,0.6031515065431132
EF1,5,60.0,42,0.0010042190551757812,0,138.2139032495677,279.91688503150135,0.9753775221347472
EF1,10,60.0,42,0.0,0,86.40405341793539,464.58259958726717,0.8876661173311414
EF1,15,60.0,42,0.0,0,129.89955717569723,1058.4267676927386,0.7283006879179735
EF1,20,60.0,42,0.0010006427764892578,0,99.73525202092694,1323.4033067965631,0.5511240799610763
Greedy (Max Value),5,60.0,42,0.0009987354278564453,1,,,
Greedy (Max Value),10,60.0,42,0.0011508464813232422,1,,,
Greedy (Max Value),15,60.0,42,0.0010597705841064453,1,,,
Greedy (Max Value),20,60.0,42,0.0023581981658935547,1,,,
Greedy (Min Value),5,60.0,42,0.001039743423461914,1,,,
Greedy (Min Value),10,60.0,42,0.0015761852264404297,1,,,
Greedy (Min Value),15,60.0,42,0.001046895980834961,1,,,
Greedy (Min Value),20,60.0,42,0.0005285739898681641,1,,,
Round Robin,5,60.0,42,0.0005035400390625,0,46.720184873210734,142.72740520612805,0.48663199196063084
Round Robin,10,60.0,42,0.0,0,20.75675980114758,406.39984015078323,0.14367836251771926
Round Robin,15,60.0,42,0.0005130767822265625,0,63.253405165470376,682.3973329389353,0.408039777882873
Round Robin,20,60.0,42,0.0,0,34.14806736012905,988.4584476939139,0.18288068182552555
Random,5,60.0,42,0.0026144981384277344,0,138.2139032495677,279.91688503150135,0.9753775221347472
Random,10,60.0,42,0.0009958744049072266,0,0,357.47296953648004,0.0
Random,15,60.0,42,0.002950906753540039,0,14.823401633025124,660.696997739951,0.07795328125851789
Random,20,60.0,42,0.0,0,8.463103949054647,1089.881144202197,0.03813329246622445
