num_agents,num_items,algorithm,time_taken
10,100,Original,0.0051572322845458984
10,100,Improved,0.0020046234130859375
10,200,Original,0.007019996643066406
10,200,Improved,0.00471949577331543
10,300,Original,0.011626243591308594
10,300,Improved,0.008376359939575195
10,400,Original,0.04686594009399414
10,400,Improved,0.01116490364074707
10,500,Original,0.025168418884277344
10,500,Improved,0.017729759216308594
10,600,Original,0.024390220642089844
10,600,Improved,0.01613616943359375
10,700,Original,0.027797222137451172
10,700,Improved,0.01766490936279297
10,800,Original,0.03147268295288086
10,800,Improved,0.022114038467407227
10,900,Original,0.03856229782104492
10,900,Improved,0.021381378173828125
10,1000,Original,0.042316436767578125
10,1000,Improved,0.03226470947265625
10,1100,Original,0.04195141792297363
10,1100,Improved,0.025449275970458984
10,1200,Original,0.04526686668395996
10,1200,Improved,0.02666759490966797
10,1300,Original,0.04790186882019043
10,1300,Improved,0.04018831253051758
10,1400,Original,0.06423664093017578
10,1400,Improved,0.053209543228149414
10,1500,Original,0.07282257080078125
10,1500,Improved,0.041101932525634766
10,1600,Original,0.06758737564086914
10,1600,Improved,0.04183673858642578
10,1700,Original,0.0634605884552002
10,1700,Improved,0.04173398017883301
10,1800,Original,0.09547734260559082
10,1800,Improved,0.052954673767089844
10,1900,Original,0.07718443870544434
10,1900,Improved,0.0510861873626709
10,2000,Original,0.08113956451416016
10,2000,Improved,0.049144744873046875
